 Date = 2010.000     Altitude =   565.000 km      geodetic  

      Lat     Long       D       I       H       X       Y       Z       F
  -75.000  355.000  -19.27  -65.54   13971   13188   -4610  -30712   33740
  -70.000    0.000  -21.74  -63.66   13724   12748   -5083  -27724   30935
  -70.000    5.000  -25.06  -63.90   13716   12425   -5809  -27999   31178
  -70.000   10.000  -28.47  -64.17   13722   12062   -6542  -28353   31499
  -70.000   15.000  -31.98  -64.49   13736   11652   -7274  -28790   31899
  -70.000   20.000  -35.56  -64.87   13753   11188   -7999  -29316   32382
  -70.000   25.000  -39.22  -65.30   13765   10664   -8705  -29932   32946
  -70.000   30.000  -42.94  -65.81   13765   10076   -9377  -30639   33589
  -70.000   35.000  -46.71  -66.39   13742    9424  -10002  -31435   34308
  -70.000   40.000  -50.50  -67.04   13690    8708  -10564  -32317   35097
  -70.000   45.000  -54.31  -67.77   13600    7933  -11046  -33278   35949
  -70.000   50.000  -58.14  -68.58   13462    7106  -11434  -34310   36856
  -70.000   55.000  -61.97  -69.45   13270    6236  -11714  -35402   37807
  -70.000   60.000  -65.80  -70.39   13018    5336  -11874  -36542   38791
  -70.000   65.000  -69.64  -71.39   12699    4418  -11906  -37715   39796
  -70.000   70.000  -73.49  -72.44   12311    3498  -11804  -38908   40810
  -70.000   75.000  -77.37  -73.54   11852    2591  -11565  -40104   41819
  -70.000   80.000  -81.30  -74.67   11321    1713  -11190  -41287   42810
  -70.000   85.000  -85.30  -75.83   10719     879  -10683  -42440   43773
  -70.000   90.000  -89.41  -77.00   10051     103  -10050  -43548   44693
  -70.000   95.000  -93.70  -78.19    9322    -601   -9302  -44597   45561
  -70.000  100.000  -98.24  -79.39    8540   -1224   -8452  -45572   46365
  -70.000  105.000 -103.15  -80.57    7716   -1755   -7513  -46462   47098
  -70.000  110.000 -108.61  -81.74    6861   -2189   -6503  -47257   47753
  -70.000  115.000 -114.88  -82.88    5993   -2521   -5437  -47950   48323
  -70.000  120.000 -122.40  -83.96    5132   -2750   -4333  -48535   48806
  -70.000  125.000 -131.86  -84.98    4309   -2876   -3209  -49009   49199
  -70.000  130.000 -144.37  -85.86    3570   -2902   -2080  -49372   49501
  -70.000  135.000 -161.26  -86.55    2991   -2833    -961  -49625   49716
  -70.000  140.000  177.13  -86.92    2677   -2674     134  -49772   49844
  -70.000  145.000  153.85  -86.89    2710   -2433    1195  -49816   49889
  -70.000  150.000  133.76  -86.48    3061   -2117    2211  -49763   49857
  -70.000  155.000  118.66  -85.83    3618   -1735    3175  -49621   49753
  -70.000  160.000  107.61  -85.05    4282   -1295    4081  -49396   49581
  -70.000  165.000   99.29  -84.19    4991    -806    4926  -49095   49348
  -70.000  170.000   92.75  -83.31    5713    -275    5707  -48724   49058
  -70.000  175.000   87.41  -82.42    6430     291    6424  -48292   48718
  -70.000  180.000   82.88  -81.52    7131     884    7076  -47803   48332
  -70.000  185.000   78.94  -80.62    7811    1499    7666  -47263   47904
  -70.000  190.000   75.43  -79.72    8468    2130    8196  -46676   47438
  -70.000  195.000   72.24  -78.82    9100    2776    8667  -46047   46937
  -70.000  200.000   69.30  -77.92    9707    3431    9081  -45377   46404
  -70.000  205.000   66.55  -77.03   10290    4095    9440  -44670   45840
  -70.000  210.000   63.93  -76.13   10849    4767    9746  -43928   45248
  -70.000  215.000   61.42  -75.22   11384    5446    9997  -43151   44628
  -70.000  220.000   58.98  -74.31   11895    6131   10193  -42343   43982
  -70.000  225.000   56.57  -73.39   12380    6822   10332  -41503   43310
  -70.000  230.000   54.16  -72.47   12839    7517   10409  -40636   42616
  -70.000  235.000   51.75  -71.54   13269    8216   10420  -39745   41901
  -70.000  240.000   49.29  -70.61   13667    8914   10361  -38833   41168
  -70.000  245.000   46.79  -69.69   14030    9607   10225  -37908   40421
  -70.000  250.000   44.21  -68.78   14354   10288   10009  -36976   39664
  -70.000  255.000   41.56  -67.90   14636   10951    9709  -36045   38903
  -70.000  260.000   38.83  -67.05   14872   11586    9324  -35125   38144
  -70.000  265.000   36.01  -66.25   15060   12182    8855  -34226   37393
  -70.000  270.000   33.12  -65.50   15199   12730    8305  -33358   36657
  -70.000  275.000   30.15  -64.83   15290   13220    7681  -32530   35944
  -70.000  280.000   27.13  -64.23   15332   13645    6992  -31752   35260
  -70.000  285.000   24.07  -63.71   15329   13997    6251  -31031   34611
  -70.000  290.000   20.97  -63.29   15285   14273    5471  -30373   34003
  -70.000  295.000   17.86  -62.95   15206   14473    4665  -29781   33439
  -70.000  300.000   14.76  -62.71   15096   14598    3846  -29257   32922
  -70.000  305.000   11.68  -62.55   14964   14654    3028  -28801   32456
  -70.000  310.000    8.62  -62.46   14815   14648    2219  -28410   32041
  -70.000  315.000    5.59  -62.44   14657   14587    1427  -28083   31678
  -70.000  320.000    2.59  -62.47   14497   14483     655  -27816   31368
  -70.000  325.000   -0.38  -62.55   14342   14342     -95  -27607   31110
  -70.000  330.000   -3.34  -62.66   14197   14173    -827  -27454   30907
  -70.000  335.000   -6.30  -62.79   14067   13982   -1543  -27354   30759
  -70.000  340.000   -9.27  -62.93   13955   13773   -2249  -27309   30668
  -70.000  345.000  -12.29  -63.09   13864   13547   -2951  -27320   30636
  -70.000  350.000  -15.36  -63.27   13796   13303   -3655  -27390   30668
  -70.000  355.000  -18.51  -63.45   13750   13038   -4365  -27523   30766
  -65.000    0.000  -21.22  -62.20   13148   12257   -4758  -24934   28188
  -65.000    5.000  -24.24  -62.43   13171   12010   -5408  -25226   28457
  -65.000   10.000  -27.40  -62.69   13224   11741   -6086  -25605   28819
  -65.000   15.000  -30.67  -62.98   13300   11440   -6785  -26084   29279
  -65.000   20.000  -34.05  -63.34   13390   11095   -7497  -26669   29842
  -65.000   25.000  -37.51  -63.77   13484   10697   -8210  -27367   30508
  -65.000   30.000  -41.01  -64.29   13570   10239   -8905  -28182   31278
  -65.000   35.000  -44.55  -64.90   13635    9717   -9565  -29113   32147
  -65.000   40.000  -48.08  -65.62   13666    9130  -10169  -30156   33108
  -65.000   45.000  -51.59  -66.44   13650    8481  -10696  -31305   34151
  -65.000   50.000  -55.04  -67.36   13575    7778  -11126  -32547   35264
  -65.000   55.000  -58.44  -68.37   13429    7030  -11442  -33869   36434
  -65.000   60.000  -61.75  -69.47   13203    6249  -11631  -35253   37645
  -65.000   65.000  -64.98  -70.64   12890    5452  -11680  -36682   38880
  -65.000   70.000  -68.11  -71.87   12483    4654  -11583  -38133   40124
  -65.000   75.000  -71.15  -73.16   11980    3871  -11337  -39585   41358
  -65.000   80.000  -74.09  -74.49   11379    3120  -10943  -41017   42566
  -65.000   85.000  -76.93  -75.86   10683    2416  -10406  -42407   43732
  -65.000   90.000  -79.67  -77.25    9896    1775   -9736  -43734   44839
  -65.000   95.000  -82.30  -78.65    9026    1209   -8944  -44977   45874
  -65.000  100.000  -84.84  -80.06    8080     727   -8047  -46120   46823
  -65.000  105.000  -87.27  -81.47    7071     337   -7062  -47148   47675
  -65.000  110.000  -89.59  -82.87    6009      43   -6009  -48049   48423
  -65.000  115.000  -91.78  -84.26    4909    -152   -4907  -48814   49060
  -65.000  120.000  -93.79  -85.62    3784    -250   -3776  -49438   49583
  -65.000  125.000  -95.49  -86.96    2647    -253   -2635  -49920   49990
  -65.000  130.000  -96.33  -88.28    1511    -167   -1501  -50261   50284
  -65.000  135.000  -89.53  -89.56     391       3    -391  -50465   50467
  -65.000  140.000   69.99  -89.17     728     249     684  -50540   50545
  -65.000  145.000   71.79  -87.96    1802     563    1712  -50492   50524
  -65.000  150.000   70.76  -86.77    2842     936    2683  -50332   50412
  -65.000  155.000   69.25  -85.61    3842    1361    3592  -50069   50216
  -65.000  160.000   67.59  -84.49    4797    1829    4435  -49715   49945
  -65.000  165.000   65.89  -83.39    5706    2331    5209  -49278   49608
  -65.000  170.000   64.19  -82.33    6568    2860    5912  -48770   49210
  -65.000  175.000   62.50  -81.29    7381    3408    6547  -48199   48761
  -65.000  180.000   60.84  -80.28    8148    3970    7116  -47574   48266
  -65.000  185.000   59.23  -79.29    8870    4539    7621  -46900   47731
  -65.000  190.000   57.65  -78.32    9551    5111    8068  -46184   47161
  -65.000  195.000   56.12  -77.36   10192    5682    8461  -45430   46559
  -65.000  200.000   54.62  -76.40   10797    6251    8803  -44639   45927
  -65.000  205.000   53.16  -75.45   11370    6818    9100  -43815   45266
  -65.000  210.000   51.72  -74.50   11914    7381    9352  -42957   44578
  -65.000  215.000   50.29  -73.54   12430    7942    9562  -42064   43863
  -65.000  220.000   48.85  -72.56   12921    8503    9729  -41138   43119
  -65.000  225.000   47.38  -71.57   13387    9065    9850  -40176   42348
  -65.000  230.000   45.85  -70.56   13827    9630    9922  -39181   41549
  -65.000  235.000   44.25  -69.54   14238   10198    9936  -38153   40723
  -65.000  240.000   42.56  -68.49   14618   10768    9886  -37097   39873
  -65.000  245.000   40.74  -67.44   14961   11336    9763  -36018   39002
  -65.000  250.000   38.78  -66.40   15262   11898    9559  -34925   38114
  -65.000  255.000   36.67  -65.36   15516   12446    9266  -33830   37218
  -65.000  260.000   34.40  -64.36   15717   12969    8879  -32745   36322
  -65.000  265.000   31.97  -63.41   15861   13455    8397  -31686   35434
